,Unnamed: 0,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
625,625,449209121,The Amazing Mrs. Pollifax,Dorothy Gilman,1992,Fawcett Books
626,626,60938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial
627,627,080411952X,The Unsung Hero,Suzanne Brockmann,2000,Ivy Books
628,628,60575808,"Two Princesses of Bamarre, The",Gail Carson Levine,2004,Eos
629,629,60558865,Ella Enchanted (rack),Gail Carson Levine,2004,Avon
630,630,767912918,Passing for Thin : Losing Half My Weight and Finding My Self,FRANCES KUFFEL,2004,Broadway
631,631,553298860,Bloodlines (Dog Lover's Mysteries),Susan Conant,1994,Bantam Books
632,632,385335679,Kissing in Manhattan,DAVID SCHICKLER,2002,Delta
633,633,440122090,Echoes,Maeve Binchy,1989,Dell
634,634,671525832,Someone to Watch Over Me : A Novel,Judith McNaught,2003,Pocket
635,635,553279572,The Toynbee Convector,Ray Bradbury,1989,Spectra Books
636,636,61009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
637,637,60930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
638,638,516076272,A polar bear called Pingo,Ilona Koidahl,1974,Childrens Press
639,639,679450432,Dark Lady,Richard North Patterson,1999,Alfred A. Knopf
640,640,821775863,The Future Scrolls,Fern Michaels,2003,Zebra Books
641,641,821770209,About Face,Fern Michaels,2003,Zebra Books
642,642,670855758,Tarot Says Beware (A Herculeah Jones Mystery),Betsy Byars,1995,Viking Books
643,643,553562819,Globalhead,Bruce Sterling,1994,Spectra Books
644,644,446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
645,645,446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,Warner Books
646,646,425179672,The River King,Alice Hoffman,2001,Berkley Publishing Group
647,647,61042943,Final Appeal,Lisa Scottoline,1994,HarperTorch
648,648,399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
649,649,965404560,Atonement,Ian McEwan,2002,Nan A. Talese
650,650,006015781X,Why Do Clocks Run Clockwise? and Other Imponderables: Mysteries of Everyday Life Explained,David Feldman,1987,Harpercollins
651,651,60930705,Someone to Watch Over Me : Stories,Richard Bausch,2000,Perennial
652,652,312206763,Stately Pursuits,Katie Fforde,1999,Griffin Trade Paperback
653,653,316116025,The Pinball Effect: How Renaissance Water Gardens Made the Carburetor Possible-And Other Journeys Through Knowledge (Pinball Effect),James Burke,1996,Little Brown &amp; Co
654,654,156013967,"My Father, Dancing (Harvest Book)",Bliss Broyard,2000,Harvest Books
655,655,385314019,Women on the Case,Sara Paretsky,1996,Bantam Dell Pub Group
656,656,743444167,New Cardiff,Charles Webb,2002,Washington Square Press
657,657,618231617,Almost: A Novel,Elizabeth Benedict,2002,Mariner Books
658,658,1567920047,A Tally of Types: With Additions by Several Hands ; And With a New Introduction by Mike Parker,Stanley Morison,1999,David R. Godine Publisher
659,659,811203220,Stand Still Like the Hummingbird,Henry Miller,1962,New Directions Publishing Corporation
660,660,1573229148,Crossing the Unknown Sea: Work As a Pilgrimage of Identity,David Whyte,2002,Riverhead Books
661,661,787955671,The Future of Leadership: Today's Top Leadership Thinkers Speak to Tomorrow's Leaders,Warren  Bennis,2001,Jossey-Bass
662,662,425174484,"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha Beck,2000,Berkley Publishing Group
663,663,385496907,No Future Without Forgiveness,Desmond Mpilo Tutu,2000,Image
664,664,446523992,"A Call to Conscience : The Landmark Speeches of Dr. Martin Luther King, Jr.",Kris Shepard,2001,Warner Books
665,665,140185216,On the Road (Penguin 20th Century Classics),Jack Kerouac,1998,Penguin USA (Paper)
666,666,684717255,I And Thou,Martin Buber,1971,Free Press
667,667,486272745,The Prince (Dover Thrift Editions),NiccolÃ² Machiavelli,1992,Dover Publications
668,668,8807120194,"Sarajevo, maybe (Anni Novanta/Feltrinelli)",Gianfranco Bettin,1994,Feltrinelli
669,669,62507249,Becoming a Man : Half a Life Story,Paul Monette,1993,HarperSanFrancisco
670,670,684801221,OLD MAN AND THE SEA,Ernest Hemingway,1995,Scribner
671,671,1576737357,Diary of a Teenage Girl - Becoming Me : Diary Number 1 (Diary of a Teenage Girl),Melody Carlson,2000,Multnomah
672,672,60083298,The Dominant Blonde,Alisa Kwitney,2002,Avon Trade
673,673,446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books
674,674,140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books
675,675,807070718,Rena's Promise: A Story of Sisters in Auschwitz,Rena Kornreich Gelissen,1996,Beacon Press
676,676,743213831,America the Beautiful: A Novel,Moon Unit Zappa,2001,Touchstone
677,677,345305477,Easy Travel to Other Planets,Ted Mooney,1982,Ballantine Books
678,678,61080519,The Mist and the Magic (Harper Monogram),Susan Wiggs,1993,Harper Mass Market Paperbacks
679,679,142000205,Icy Sparks,Gwyn Hyman Rubio,2001,Penguin Books
680,680,316735027,The True and Outstanding Adventures of the Hunt Sisters: A Novel,Elisabeth Robinson,2004,"Little, Brown"
681,681,193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing
682,682,015600710X,Strange Fits of Passion: A Novel,Anita Shreve,1999,Harvest Books
683,683,62517856,The Monk Downstairs: A Novel,Tim Farrington,2002,HarperSanFrancisco
684,684,679767789,Lost in Place: Growing Up Absurd in Suburbia,Mark Salzman,1996,Vintage Books USA
685,685,449911683,My Name Is Asher Lev,Chaim Potok,1996,Ballantine Books
686,686,425169626,Waking the Dead,Scott Spencer,2000,Berkley Publishing Group
687,687,449207757,Davita's Harp,Chaim Potok,1990,Fawcett Books
688,688,449245691,The Book of Lights,Chaim Potok,1997,Fawcett Books
689,689,140029400,The Mimic Men,V. S. Naipaul,1992,Penguin USA
690,690,140021566,The Mystic Masseur,V.S. Naipaul,1993,Penguin USA
691,691,2253004022,Regain,Jean Giono,1987,LGF
692,692,2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
693,693,225300670X,A l'Ouest rien de nouveau,Erich Maria Remarque,1973,LGF
694,694,2266084372,Pourquoi j'ai mang,Lewis,2000,Pocket
696,696,2266029460,Voyage d'une parisienne Lhassa,Alexandra David-NÃ?Â©el,1989,Pocket
697,697,2253007102,Les Fleurs Du Mal,C. Baudelaire,1972,Livre De Poche French
698,698,2070417743,Chroniques martiennes,Ray Bradbury,2002,Gallimard
700,700,2070384349,La Faute de l'ab Mouret,Emile Zola,1991,Gallimard
701,701,207053880X,L'Homme Qui Plantait Des Arbres,Jean Giono,2002,Distribooks Inc
703,703,2290314951,Paroles de Poilus : Lettres et carnets du front 1914-1918,Collectif,2001,J'ai lu
704,704,229000510X,Une porte sur,Robert A. Heinlein,1999,J'ai lu
705,705,3492207006,Die Entdeckung der Langsamkeit.,Sten Nadolny,1987,Piper
706,706,3499177757,Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats : Amnesty for Women (Rororo Sachbuch),Cheryl Benard,1984,Rowohlt
707,707,3889774016,Frauen der Welt: Vom Fortschritt der Ungleichheit,Christa Wichterich,1995,Lamuv
708,708,3502670005,I Ging. Das Buch der Wandlung. Das groe Weisheits- und Orakelbuch der alten Chinesen.,John. Blofeld,1999,O. W. Barth Bei Scherz
709,709,905762487,African Women: Their Struggle for Economic Independence,Christine Obbo,1980,Palgrave-Macmillan
710,710,3499222604,Die globalisierte Frau: Berichte aus der Zukunft der Ungleichheit (Frauen aktuell),Christa Wichterich,1998,Rowohlt
711,711,3746670055,"Women are the Niggers of the World: er Frauen, Herrenmenschen und Nietzsches Peitsche (AtV Dokument und Essay)",Peter B Heim,1994,Aufbau Taschenbuch Verlag
712,712,140620427,Sense and Sensibility (Penguin Popular Classics),Jane Austen,1994,Penguin Books Ltd
713,713,3596144434,Der gemietete Mann.,Hera Lind,1999,"Fischer (Tb.), Frankfurt"
714,714,3442724686,Der Gott der kleinen Dinge.,Arundhati Roy,1999,btb
715,715,385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
716,716,446525502,The Rescue,Nicholas Sparks,2000,Warner Books
717,717,385500769,A Map of the World,Jane Hamilton,1999,Doubleday Books
718,718,399147012,Edge of Danger,Jack Higgins,2001,Putnam Publishing Group
719,719,670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
720,720,688180639,Vinegar Hill (Oprah's Book Club (Hardcover)),A. Manette Ansay,1999,HarperCollins
721,721,316789089,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown"
722,722,451197275,Saving Private Ryan: A Novel,Max Allan Collins,1998,Signet Book
723,723,425184129,Big Trouble,Dave Barry,2002,Berkley Publishing Group
724,724,151001006,Snow Falling on Cedars,David Guterson,1994,Harcourt
725,725,385505833,Skipping Christmas,JOHN GRISHAM,2001,Doubleday
726,726,679442790,The Reader,Bernhard Schlink,1997,Random House
727,727,525943862,Cheaters,Eric Jerome Dickey,1999,Dutton Books
728,728,609605925,Angel Falls,KRISTIN HANNAH,2000,Crown
729,729,60191929,The Saving Graces : A Novel,Patricia Gaffney,1999,HarperCollins
730,730,743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
731,731,684864843,The Vineyard : A Novel,Barbara Delinsky,2000,Simon &amp; Schuster
732,732,684867818,The Looking Glass : A Novel (The Locket Series),Richard Paul Evans,1999,Simon &amp; Schuster
733,733,743406176,If Only It Were True,Marc Levy,2000,Atria
734,734,380978539,"Dear Stranger, Dearest Friend",Laney Katz Becker,2000,William Morrow &amp; Company
735,735,679603352,The Cider House Rules: A Novel (Modern Library),John Irving,1999,Modern Library
736,736,679410430,Lolita (Everyman's Library (Cloth)),VLADIMIR NABOKOV,1993,Everyman's Library
737,737,446523569,Message in a Bottle,Nicholas Sparks,1998,Warner Books
738,738,671042556,Blackbird: A Childhood Lost and Found,Jennifer Lauck,2000,Atria
739,739,679450440,Protect and Defend,Richard North Patterson,2000,Random House Inc
740,740,140107649,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books
741,741,609606727,Julie and Romeo,Jeanne Ray,2000,Harmony
742,742,446527793,The Guardian,Nicholas Sparks,2003,Warner Books
743,743,446531332,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books
744,744,1570717257,Man and Boy,Tony Parsons,2001,Sourcebooks Landmark
745,745,60192631,One Heart,Jane McCafferty,1999,HarperCollins Publishers
746,746,385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books
747,747,345339711,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey
748,748,052594463X,All of Me: A Voluptuous Tale,Venise T. Berry,2000,Dutton Books
749,749,039304016X,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,1997,Little Brown and Company
750,750,399147128,The Villa,Nora Roberts,2001,Putnam Publishing Group
751,751,670031046,In This Mountain,Jan Karon,2002,Viking Books
752,752,394574745,"All the Pretty Horses (Border Trilogy, Vol 1)",Cormac McCarthy,1992,Alfred A. Knopf
753,753,316969443,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown"
754,754,743230051,He Sees You When You're Sleeping : A Novel,Mary Higgins Clark,2001,Scribner
755,755,316693200,2nd Chance,James Patterson,2002,"Little, Brown"
756,756,684868911,The Carousel : A Novel,Richard Paul Evans,2000,Simon &amp; Schuster
757,757,842336214,The Promise Remains,Travis Thrasher,2000,Tyndale House Publishers
758,758,399148582,You Cannot Be Serious,John McEnroe,2002,Putnam Publishing Group
759,759,684864320,LAKE NEWS : A Novel,Barbara Delinsky,1999,Simon &amp; Schuster
760,760,525944834,Liar's Game,Eric Jerome Dickey,2000,Dutton Books
761,761,345428900,Out of the Blue,Sally Mandel,2000,Ballantine Books
762,762,451176812,Voice of the Eagle,Linda Lay Shuler,1993,Signet Book
763,763,671525794,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1984,Pocket Books
765,765,446602086,The Proud and the Free,Janet Dailey,1995,Warner Vision
766,766,394551427,Shoah,Claude Lanzmann,1985,Random House Inc
767,767,64407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
768,768,7100221,TERROR FIRMA,Matthew Thomas,2001,Trafalgar Square
769,769,2253148539,Le Loup-garou,Boris Vian,1999,LGF
770,770,2253043974,Chronique d'une mort annonc,Gabriel Garcia Marquez,1987,LGF
771,771,2020315491,Le neveu ,Luis SepÃ?Âºlveda,1998,Seuil
772,772,747549923,Last Exit to Brooklyn,Hubert Selby,2000,Bloomsbury Pub Ltd
773,773,743462335,More George W. Bushisms: More Verbal Contortions from America's 43rd President,Jacob Weisberg,2002,Simon &amp; Schuster (Trade Division)
774,774,140253580,Therapy,David Lodge,1996,Penguin Putnam~trade
775,775,947782141,Scottish Ghosts,Judy Hamilton,1999,Lomond Books
776,776,057120354X,Awful End (Eddie Dickens Trilogy S.),Philip Ardagh,2000,Faber Children's Books
778,778,743222229,George W. Bushisms : The Slate Book of The Accidental Wit and Wisdom of our 43rd President,Jacob Weisberg,2001,Fireside
779,779,185479549X,The World's Stupidest Laws,David Crombie,2000,Michael O'Mara Books
780,780,140292918,Of Mice and Men (Steinbeck Essentials),John Steinbeck,2001,Penguin Books Ltd
781,781,1854795554,The World's Stupidest Signs,Michael O'Mara,2000,Michael O'Mara Books
782,782,1858813093,Nessie: The Loch Ness Monster,Richard Brassey,2003,Trafalgar Square Books
783,783,2871290911,"XIII, tome 13, the XIII mystery",Jean Van Hamme,1999,Dargaud
784,784,198604025,How Not to Say What You Mean: A Dictionary of Euphemisms (Oxford Paperback Reference S.),R. W. Holder,2003,Oxford University Press
785,785,1842151053,Cooking for One (Cook's Essentials),Valerie Ferguson,2000,Southwater Publishing
786,786,2253063339,Les Fourmis,Bernard Werber,2002,LGF
788,788,767908473,The Sorcerer's Companion: A Guide to the Magical World of Harry Potter,ALLAN ZOLA KRONZEK,2001,Broadway
789,789,1842040154,Celtic Myths and Legends,Charles L. Squire,2000,Lomond Books
790,790,140622063,Scottish Folk and Fairy Tales (Penguin Popular Classics),Gordon Jarvie,1997,Penguin Books Ltd
791,791,571209521,Terrible Times (Eddie Dickens Trilogy S.),Philip Ardagh,2002,Faber Children's Books
792,792,2264009306,Barnum's digest,Boris Vian,1978,Union gÃ©nÃ©rale d'Ã©ditions
793,793,1841952931,Glasgow Zen,Alan Spence,2002,Canongate Books Ltd
794,794,890877564,Totally Muffins Cookbook (Totally Cookbooks),Helene Siegel,1995,Celestial Arts
795,795,1405200677,Tigger's Little Book of Diet and Exercise,E.H. Shepard,2002,Egmont Childrens Books
796,796,416196772,Eeyore's Little Book of Gloom,Alan Alexander Milne,1999,Routledge
797,797,747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC
798,798,375501347,Amy and Isabelle,Elizabeth Strout,1999,Random House Inc
799,799,60927240,"Rule of the Bone : Novel, A",Russell Banks,1996,Perennial
800,800,316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
801,801,156341029X,Stone Butch Blues,Leslie Feinberg,1993,Firebrand Books
802,802,60934719,stardust,Neil Gaiman,2001,Perennial
803,803,1886383421,Fires of Aggar,Chris Anne Wolfe,2001,Windstorm Creative
804,804,1888451084,Kamikaze Lust,Lauren Sanders,2000,Akashic Books
805,805,451450256,Gossamer Axe,Gael Baudino,1993,New Amer Library
806,806,1555835953,Witchfire,Lauren Maddison,2001,Alyson Books
807,807,395877563,Seven Moves,Carol Anshaw,1997,Mariner Books
808,808,962893862,Return to Isis,Jean Stewart,1992,Rising Tide Press (AZ)
809,809,1555834531,Hood,Emma Donoghue,1998,Alyson Publications
810,810,393318435,Leaving Pipe Shop: Memories of Kin,Deborah McDowell,1998,W. W. Norton &amp; Company
811,811,889740828,Love Ruins Everything: A Novel,Karen X. Tulchinsky,1998,Press Gang Publishers
812,812,1563410443,"Skin: Talking About Sex, Class &amp; Literature",Dorothy Allison,1994,Firebrand Books
813,813,1563899388,"Death: At Death's Door (Vertigo, Number 1)",Jill Thompson,2003,DC Comics
814,814,1563411148,The Second Coming of Curly Red,Jody Seay,1999,Firebrand Books
815,815,553579681,Night Mares,Manda Scott,1999,Crimeline
816,816,553579673,Hen's Teeth,Manda Scott,1999,Bantam Books
817,817,451181379,The Door to December,Dean R. Koontz,1994,Signet Book
818,818,786889160,"No Shirt, No Shoes, No Problem!",Jeff Foxworthy,1997,Warner Books (Mm)
819,819,345370740,The Scions of Shannara (Heritage of Shannara (Paperback)),Terry Brooks,1993,Del Rey Books
820,820,553574175,Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback)),A.C. Crispin,1998,Spectra Books
821,821,553574167,"The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2)",A. C. Crispin,1998,Bantam Books
822,822,553574159,"The Paradise Snare (Star Wars: The Han Solo Trilogy, Volume 1)",A. C. Crispin,1998,Spectra Books
823,823,312287240,A Year of Full Moons,Madelyn Arnold,2002,Stonewall Inn Editions
824,824,679801146,Alanna: The First Adventure (Song of the Lioness (Paperback)),Tamora Pierce,1989,Random House Children's Books
825,825,446300101,"The Beans of Egypt, Maine",Carolyn Chute,1986,Warner Books
826,826,821750410,Warrior Moon,Sara Orwig,1995,Zebra Books
827,827,425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group
828,828,451456548,Cold Iron,Melisa Michaels,1997,Roc
829,829,60006048,Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,2001,Avon
830,830,312906552,The Space Merchants,Frederik Pohl,1987,St Martins Pr
831,831,440117291,DREAMSNAKE,VONDA MCINTYRE,1986,Dell
832,832,425049981,Titan,John Varley,1980,Berkley Publishing Group
833,833,374386676,The Year They Burned the Books,Nancy Garden,1999,Farrar Straus Giroux
834,834,786886463,A Density of Souls,Christopher Rice,2001,Miramax
835,835,345395379,Slow River,Nicola Griffith,1996,Ballantine Books
836,836,380788497,Changer,Jane Lindskold,1998,Eos
837,837,307215342,Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,1977,Random House Childrens Books
838,838,374343381,Lark in the Morning,Nancy Garden,1991,Farrar Straus &amp; Giroux
839,839,345403339,Saving Grace,LEE SMITH,1996,Ballantine Books
840,840,440226694,Lena (50 State Quarters),JACQUELINE WOODSON,2000,Laurel Leaf
841,841,440219604,I Hadn't Meant to Tell You This,Jacqueline Woodson,1995,Laurel-Leaf Books
842,842,767903285,Raise the Roof: The Inspiring Inside Story of the Tennessee Lady Vols' Undefeated 1997-98 Season,Pat Head Summitt,1998,Broadway Books
843,843,345429176,"Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe",Richard Belzer,1999,Ballantine Books
844,844,038529929X,Hannibal,Thomas Harris,1999,Del Sol Press
845,845,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
846,846,345418778,Mostly Harmless,Douglas Adams,2000,Ballantine Books
847,847,517201658,The Thorn Birds (Modern Classics),Colleen McCullough,1998,Wings
848,848,743211383,Dreamcatcher,Stephen King,2001,Scribner
849,849,039914370X,Sudden Mischief (Spenser Mysteries (Hardcover)),Robert B. Parker,1998,Putnam Pub Group
850,850,1884777805,Elements of Programming With Perl,Andrew L. Johnson,1999,Manning Publications
851,851,312977905,To Catch a Cat,Marian Babson,2002,St. Martin's Minotaur
852,852,812521331,"People of the Wolf (The First North Americans series, Book 1)",W. Michael Gear,1992,Tor Books
853,853,451205421,The Door to December,Dean R. Koontz,2002,Signet Book
854,854,894342789,College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Paul Phifer,1999,Ferguson Publishing Company
855,855,440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island
856,856,449207595,The Grass Is Always Greener over the Septic Tank,Erma Bombeck,1988,Fawcett Books
857,857,8806142267,Viaggi del tempo immobile (I coralli),Roberto Vecchioni,1996,Einaudi
858,858,670844594,Rumpole on Trial,John Mortimer,1992,Penguin USA
859,859,039457513X,Billy Bathgate,E. L. Doctorow,1989,Random House
860,860,394559487,Citizens: A Chronicle of the French Revolution,Simon Schama,1989,Random House Inc
861,861,804001944,The Man Who Killed the Deer,Frank Waters,1970,Ohio University Press
862,862,590897985,The Music of Dolphins (Apple Signature Edition),Karen Hesse,1998,Hyperion Books for Children
863,863,689832877,Sunwing (Aladdin Fantasy),Kenneth Oppel,2001,Aladdin
864,864,689829698,Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction),Carol Ryrie Brink,1999,Aladdin
865,865,439042917,The Hork-Bajir Chronicles (Animorphs Series),K. A. Applegate,1998,Scholastic
866,866,64409457,The Silver Chair (full color) (Narnia),C. S. Lewis,2000,HarperTrophy
867,867,64405052,The Magician's Nephew (Narnia),C. S. Lewis,1994,HarperTrophy
868,868,043922165X,"Circles in the Stream (Avalon: Web of Magic, 1)",Shelly R. Roberts,2001,Scholastic
869,869,152162445,High Wizardry: The Third Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
870,870,152162577,Deep Wizardry: The Second Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
871,871,015216250X,So You Want to Be a Wizard: The First Book in the Young Wizards Series,Diane Duane,2001,Magic Carpet Books
872,872,1562477528,Going for Great (Ag Fiction (American Girl)),Carolee Brockmann,1999,Pleasant Company Publications
873,873,439221676,"All That Glitters (Avalon, 2)",Rachel Roberts,2001,Scholastic
874,874,439221684,"Cry of the Wolf (Avalon, 3)",Rachel Roberts,2001,Scholastic
875,875,439221714,"The Secret of the Unicorn (Avalon Web of Magic, 4)",Rachel Roberts,2000,Scholastic Paperbacks
876,876,439221706,Avalon: Web Of Magic #5: Spellsinger,Rachel Roberts,2002,Scholastic Paperbacks
877,877,439221730,Trial by Fire,Rachel Roberts,2002,Scholastic Paperbacks
878,878,440415993,"Ties That Bind, Ties That Break (Laurel-Leaf Books)",Lensey Namioka,2000,Laurel-Leaf Books
879,879,895872102,"The Hauntings of Williamsburg, Yorktown, and Jamestown",Jackie Eileen Behrend,1998,John F. Blair Publisher
880,880,068983585X,The Janitor's Boy,Andrew Clements,2001,Aladdin
881,881,345391802,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books
882,882,440219078,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf
883,883,185424597X,The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Paul Hattaway,2003,Monarch Books
884,884,2080105434,The Little Book of Chocolate (Little Book Of...(Flammarion)),Alain Stella,2001,Flammarion
885,885,349913358X,Das Schlampenbuch. ( neue frau).,Milena Moser,1993,Rowohlt Tb.
886,886,3257201761,Die zwei Gesichter des Januars.,Patricia Highsmith,1974,Diogenes Verlag
887,887,345356578,A Man Rides Through (Man Rides Through),Stephen Donaldson,1990,Del Rey Books
888,888,345346971,Mirror of Her Dreams (Mordant's Need),STEPHEN R. DONALDSON,1987,Del Rey
890,890,451155750,The Dead Zone,Stephen King,2004,Signet Book
891,891,786890436,The Diary of Ellen Rimbauer: My Life at Rose Red,Ellen Rimbauer,2002,Hyperion Press
892,892,415928087,A New Germany in a New Europe,Todd Herzog,2000,Routledge
893,893,521427150,"Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology)",John Borneman,1992,Cambridge University Press
894,894,812923278,The Great Depression : America 1929-1941,ROBERT S. MCELVAINE,1993,Three Rivers Press
895,895,884111342,Lady of the Shroud,Bram Stoker,1989,Amereon Limited
896,896,345428544,"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Michael A. Stackpole,2000,Del Rey Books
897,897,671694049,LONG DARK TEA TIME OF THE SOUL,Douglas Adams,1990,Pocket
898,898,080901582X,The Return of Simple,Langston Hughes,1995,Hill &amp; Wang
899,899,449006557,Half Moon Street (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry,2001,Ballantine Books
900,900,373250339,A Minor Indiscretion (Red Dress Ink (Paperback)),Carol Matthews,2003,Red Dress Ink
901,901,380820447,"For Better, for Worse: A Novel",Carole Matthews,2002,Avon Trade
902,902,385497679,Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Jacqueline L. Tobin,2000,Anchor Pub
903,903,451454243,The Forest House,Marion Zimmer Bradley,1995,Roc
904,904,941423042,American Poetry Since 1970: Up Late,Andrei Codrescu,1988,Four Walls Eight Windows
905,905,373871562,Twin Blessings (Love Inspired (Numbered)),Carolyne Aarsen,2001,Steeple Hill
906,906,553101439,West of Dodge: Frontier Stories,Louis L'Amour,1996,Bantam
907,907,898151910,"How to Make $1,000 a Minute: Negotiating Salaries and Raises",Jack Chapman,1987,Ten Speed Pr
908,908,835949362,Non-manipulative selling,Anthony J Alessandra,1981,Reston Pub. Co
909,909,880701102,Come Before Winter and Share My Hope,Charles R. Swindoll,1985,Word Publishing
910,910,039914563X,The Bear and the Dragon,Tom Clancy,2000,G. P. Putnam's Sons
911,911,312853238,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books
912,912,688048730,Thinking on paper,V. A Howard,1986,W. Morrow
913,913,425161722,Net Force,Tom Clancy,1999,Berkley Publishing Group
914,914,385493800,The Testament,John Grisham,1999,Doubleday Books
915,915,849916399,The Internet Church,Walter P. Wilson,2000,W Publishing Group
916,916,1928791107,The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution,Bruce Fries,2000,Teamcom Books
917,917,067175145X,The Way Things Ought to Be,"Rush H., III Limbaugh",1992,Pocket Books
918,918,440211727,A Time to Kill,JOHN GRISHAM,1992,Dell
919,919,877192820,The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts,Anne Dingus,1995,Gulf Publishing Company
920,920,380002450,Awakening,Kate Chopin,1982,Avon
921,921,793133955,Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp; Mutual Funds (Wall Street's Picks),Kirk Kazanjian,1999,Dearborn Financial Publishing
922,922,394178017,Poetics of the New American Poetry,Donald Merriam Allen,1974,Grove Press
923,923,425134350,Patriot Games,Tom Clancy,1992,Berkley Publishing Group
924,924,385479689,Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist,William Maples,1995,Main Street Books
925,925,380754851,Moonlighting: 148 Great Ways to Make Money on the Side,Carl Hausman,1991,Harpercollins
926,926,380538504,Amanda Miranda,Richard Peck,1981,Harper Mass Market Paperbacks (Mm)
927,927,044661162X,Chasing the Dime,Michael Connelly,2003,Warner Books
928,928,671742566,Tender Triumph (Sonnet Books),Judith McNaught,1991,Pocket
929,929,515122408,The Cat Who Tailed a Thief,Lilian Jackson Braun,1998,Jove Books
930,930,440222818,Guilt,John T. Lescroart,1998,Island
931,931,451204050,On Secret Service,John Jakes,2001,Signet Book
932,932,038533334X,Charming Billy,Alice McDermott,1999,Delta
933,933,449131548,All the Days of My Life,Hilary Bailey,1986,Fawcett Books
934,934,440120470,The Dinner Party,Howard Fast,1991,Dell Publishing Company
935,935,451188209,A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback)),Jessica Fletcher,1996,Signet Book
936,936,440130913,Golden Cup,Belva Plain,1987,Dell
937,937,449001954,Murder at the Library of Congress (Capital Crimes (Paperback)),Margaret Truman,2001,Fawcett Books
938,938,345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,Ballantine Books
939,939,451185277,Thorns of Truth,Eileen Goudge,1999,Signet Book
