,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
34066,0307125688,Garfield The Big Star (Golden Look-Look Books),Jim Davis,1989,Golden Books
34071,0671730819,"Danger On Parade (Nancy Drew Files 77) : Danger On Parade (Nancy Drew Files, No 77)",Carolyn Keene,1992,Simon Pulse
34078,0140328726,Fantastic Mr. Fox,Roald Dahl,1988,Puffin Books
34080,014036837X,The Vicar Of Nibbleswicke,Roald Dahl,1994,Puffin Books
34081,0140360999,Esio Trot,Roald Dahl,1992,Puffin Books
34082,0807282316,"Harry Potter And The Prisoner Of Azkaban (Book 3, Audio)",J. K. Rowling,2000,Listening Library
34083,0747545774,Harry Potter And The Chamber Of Secrets,J. K. Rowling,2000,Trafalgar Square (J)
34086,0679803912,Oliver Twist (Bullseye Step Into Classics),Charles Dickens,1994,Random House Children's Books
34103,1851523138,The Bedside Dickens (Classics For Pleasure),Charles Dickens,1993,Bounty Books
34150,0603032877,Rewards: Adventurous Four,Enid Blyton,1990,Egmont Childrens Books
34200,0140621377,"\The Happy Prince\"" And Other Stories (Penguin Popular Classics)""",Oscar Wilde,1994,Penguin Books Ltd
34204,0486278077,The Picture Of Dorian Gray (Dover Thrift Editions),Oscar Wilde,1993,Dover Publications
34209,0517182459,"Michael Crichton: Two Complete Novels : Disclosure, Rising Sun",Michael Crichton,1996,Outlet Books Company
34229,0140186425,Of Mice And Men (Twentieth-Century Classics),John Steinbeck,1994,Penguin Books
34235,0141310340,Skin And Other Stories (Now In Speak!),Roald Dahl,2002,Puffin Books
34237,0140346406,The Twits,Roald Dahl,1991,Penguin USA
34238,0140375333,Roald Dahl'S Revolting Rhymes,Roald Dahl,1995,Puffin Books
34239,0451197127,Apt Pupil : A Novella In Different Seasons,Stephen King,1998,Signet Book
34249,0140292926,"The Grapes Of Wrath (Steinbeck \Essentials\"")""",John Steinbeck,2001,Penguin Books Ltd
34250,0140089179,Boy: Tales Of Childhood,Roald Dahl,1988,Penguin Books
34263,0373833512,Waiting Game,Jayne Ann Krentz,1998,Harlequin
34270,0061003794,Sparkling Cyanide,Agatha Christie,1992,Harper Mass Market Paperbacks (Mm)
34327,0192545124,Little Dorrit (New Oxford Illustrated Dickens),Charles Dickens,1987,Oxford University Press
34328,0140436111,The Pickwick Papers (Penguin Classics),Charles Dickens,2000,Penguin Books
34329,019282760X,Pride And Prejudice (World'S Classics),Jane Austen,1990,Oxford University Press
34335,0671738224,Silent Night  (Fear Street Super Chiller),R. L. Stine,1991,Simon Pulse
34341,0141311428,Going Solo,Roald Dahl,2001,Puffin Books
34354,0451517563,Pickwick Papers,Charles Dickens,1980,Signet Book
34373,0141311312,The Complete Adventures Of Charlie And Mr.Willy Wonka,Roald Dahl,2001,Puffin Books
34386,0375759174,Northanger Abbey (Modern Library Classics),Jane Austen,2002,Modern Library
34387,0312981643,They Came To Baghdad,Agatha Christie,2002,St. Martin's Minotaur
34388,042506784X,The Hollow (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2001,Berkley Publishing Group
34389,0425105679,Cards On The Table (Hercule Poirot Mysteries (Paperback)),Agatha Christie,2001,Berkley Publishing Group
34390,0425094537,Murder At The Vicarage (Agatha Christie Mysteries Collection (Library)),Agatha Christie,1995,Berkley Publishing Group
34405,0812544048,David Copperfield (David Copperfield),Charles Dickens,1998,Tor Books
34409,0395974682,The Lord Of The Rings (One Volume Edition),J. R. R. Tolkien,1999,Houghton Mifflin Company
34410,0762406720,"The Unabridged Charles Dickens: A Tale Of Two Cities, Oliver Twist, Great Expectations (Courage Classics)",Charles Dickens,1999,Running Press Book Publishers
34425,0590456512,"Karen'S New Friend (Baby-Sitters Little Sister, 36)",Ann M. Martin,1993,Scholastic Paperbacks
34492,0425171396,"Hidden Agendas (Tom Clancy'S Net Force, No. 2)",Tom Clancy,1999,Berkley Publishing Group
34539,3551551693,Harry Potter Und Der Gefangene Von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
34543,3453197674,Tom Clancys Power Plays 1. Politika.,Tom Clancy,2002,Heyne
34549,0140435123,Nicholas Nickleby (Penguin Classics),Charles Dickens,1999,Penguin Books
34554,0060589426,Kingdom Of The Golden Dragon,Isabel Allende,2004,HarperCollins
34668,0192824325,Emma (The World'S Classics),Jane Austen,1995,Oxford University Press
34796,0486287475,Richard Iii (Dover Thrift Editions),William Shakespeare,1995,Dover Publications
34817,8483106973,Las Normas De La Casa De La Sidra,John Irving,2002,Tusquets
34828,8466304282,El Socio,John Grisham,2002,Distribooks
34839,8440677715,El Factor Aladino,Jack Canfield,2001,Downtown Book Center (Sd)
34843,8445071963,Egidio El Granjero De Ham,J. R. R. Tolkien,1995,Minotauro
34882,1551666928,Desperado,Diana Palmer,2003,Mira
34908,0373512090,To Love And Cherish,Diana Palmer,2002,Silhouette
34964,0373196318,"Lionhearted  (Long, Tall Texans)",Diana Palmer,2002,Silhouette
34998,0671470493,Towards Zero,Agatha Christie,1982,Pocket
35027,0425159116,Ssn: Strategies Of Submarine Warfare,Tom Clancy,1997,Berkley Publishing Group
35035,8877827033,Harry Potter E La Camera Dei Segreti,J. K. Rowling,2002,Distribooks
35057,2253025488,La Nuit Du Renard,Mary Higgins Clark,1980,LGF
35096,1551669129,Golden Lasso,Fern Michaels,2002,Mira
35154,0671499491,And Then There Were None E,Agatha Christie,1983,Pocket
35195,3442415993,Echt Zauberhaft. Ein Roman Von Der Bizarren Scheibenwelt.,Terry Pratchett,1997,Goldmann
35205,3453216253,Das Fest,John Grisham,2003,Distribooks Inc
35278,0515137812,A Little Fate,Nora Roberts,2004,Jove Books
35280,0671728555,Perfect Partners,Jayne Ann Krentz,1992,Pocket
35281,0671778730,"Absolutely, Positively",Jayne Ann Krentz,1997,Pocket
35282,1551669587,Uneasy Alliance,Jayne Ann Krentz,2002,Mira
35290,0671008188,Alien In The Classroom The Nancy Drew Notebooks 23,Carolyn Keene,1998,Aladdin
35293,0671879502,The Ice Cream Scoop (Nancy Drew Notebook 6) : The Ice Cream Scoop,Carolyn Keene,1995,Aladdin
35301,0671879480,Bad Day For Ballet (Nancy Drew Notebook 4) : Bad Day For Ballet,Carolyn Keene,1995,Aladdin
35308,0671008153,Princess On Parade Nancy Drew Notebooks 21 (Nancy Drew Notebooks),Carolyn Keene,1997,Aladdin
35313,0671879456,The Slumber Party Secret (Nancy Drew Notebook 1) : The Slumber Party Secret,Carolyn Keene,1994,Aladdin
35327,0671568604,The Ski Slope Mystery Nancy Drew Notebooks 16,Carolyn Keene,1997,Aladdin
35338,0590553232,"Escape From The Carnival Of Horrors (Give Yourself Goosebumps, No 1)",R. L. Stine,1995,Scholastic
35421,0886775299,Rediscovery,Marion Zimmer Bradley,1994,Daw Books
35428,0345282132,Split Infinity,Piers Anthony,1980,Ballantine Books
35429,0345282140,Blue Adept,Piers Anthony,1982,Ballantine Books
35430,0380896850,"Politician (Bio Of A Space Tyrant, Vol 3)",Piers Anthony,1986,Harper Mass Market Paperbacks (Mm)
35460,0380017555,Cluster,Piers Anthony,1977,Harper Mass Market Paperbacks (Mm)
35479,0553118013,The Problems Of Love,Barbara Cartland,1978,Bantam Books
35490,0671046160,Blood And Smoke,Stephen King,1999,Audioworks
35496,0886774942,Leroni Of Darkover,Marion Zimmer Bradley,1991,Daw Books
35537,2070360377,Des Souris Et Des Hommes,John Steinbeck,1972,Gallimard
35586,0618009345,Poems From The Hobbit,J. R. R. Tolkien,1999,Houghton Mifflin
35617,0451523237,Mansfield Park,Jane Austen,1964,New Amer Library Classics
35629,0195101316,"The Celebrated Jumping Frog Of Calaveras County, And Other Sketches (Oxford Mark Twain)",Mark Twain,1996,Oxford University Press
35640,3442421292,Voll Im Bilde. Ein Roman Von Der Bizarren Scheibenwelt.,Terry Pratchett,1998,Goldmann
35686,0521293693,King Henry V (The New Cambridge Shakespeare),William Shakespeare,1992,Cambridge University Press
35711,0590203088,Building The New School (Tonka (Paperback)),Ann M. Martin,1995,Scholastic
35739,1582348251,"Harrius Potter Et Philosophi Lapis (Harry Potter And The Philosopher'S Stone, Latin Edition)",J. K. Rowling,2003,Bloomsbury USA Children's Books
35767,0743457781,"Late Bloomer (Michaels, Fern)",Fern Michaels,2003,Atria Books
35795,0582426863,"Three Great Plays Of Shakespeare (Penguin Readers, Level 4)",William Shakespeare,2001,Pearson ESL
35797,0590436228,Bummer Summer,Ann M. Martin,1994,Scholastic Paperbacks (Mm)
35851,0515118559,True Betrayals,Nora Roberts,1996,Jove Books
35863,0486292797,Humorous Stories And Sketches (Dover Thrift Editions),Mark Twain,1996,Dover Publications
35870,1551667363,The Snow Bride,Debbie Macomber,2003,Mira
35889,3453058607,Die Farben Der Magie. Ein Roman Von Der Bizarren Scheibenwelt.,Terry Pratchett,1992,Heyne
35890,3453042905,Gevatter Tod. Roman. ( Fantasy).,Terry Pratchett,1990,Heyne
35932,0060924985,The Infinite Plan : A Novel,Isabel Allende,1994,Perennial
35957,0486268764,Julius Caesar (Dover Thrift Editions) [Unabridged],William Shakespeare,1991,Dover Publications
36044,1551666138,Return To Promise (Mira),Debbie Macomber,2000,Mira
36048,0821763075,Finders Keepers (Zebra Books),Fern Michaels,1999,Zebra Books
36210,0486268659,A Christmas Carol (Dover Thrift Editions),Charles Dickens,1991,Dover Publications
36251,0441586333,Norby Chronicles,Isaac Asimov,1986,Ace Books
36275,0345418794,Dragonseye,Anne McCaffrey,1998,Del Rey Books
36276,3453007867,Friedhof Der Kuscheltiere. Roman.,Stephen King,1988,Heyne
36300,0671642839,"Enemy Match (Nancy Drew 73) : Enemy Match (Nancy Drew Mystery Stories, No 73)",Carolyn Keene,1987,Aladdin
36301,0671673017,"The Twin Dilemma (Nancy Drew 63) : The Twin Dilemma (Nancy Drew, No 63)",Carolyn Keene,1988,Aladdin
36302,0553482823,"The Secret Of The Magic Pen (Sweet Valley Twins And Friends Super Chiller, No 8)",Francine Pascal,1995,Sweet Valley
36304,034541795X,The Hotel New Hampshire (Ballantine Reader'S Circle),John Irving,1997,Ballantine Books
36310,0448095114,"The Clue Of The Broken Locket (Nancy Drew Mystery Stories, No 11)",Carolyn Keene,1970,Grosset &amp; Dunlap
36409,0671632337,Collapsing Univrse,Isaac Asimov,1986,Pocket
36568,0140314067,The Twits (Puffin Books),Roald Dahl,1982,Puffin Books
36610,059048348X,"It Came From Beneath The Sink! (Goosebumps, No 30)",R. L. Stine,1995,Scholastic
36611,0590483528,"The Cuckoo Clock Of Doom (Goosebumps, No 28)",R. L. Stine,1995,Scholastic
36612,0590993976,"Zombie School (Give Yourself Goosebumps, No 40)",R. L. Stine,1999,Apple (Scholastic)
36613,0590477455,"Return Of The Mummy (Goosebumps, No 23)",R. L. Stine,1995,Scholastic
36614,0590477439,"Go Eat Worms! (Goosebumps, No 21)",R. L. Stine,1995,Scholastic
36615,059049449X,"The Werewolf Of Fever Swamp (Goosebumps, No 14)",R. L. Stine,1995,Scholastic
36618,067141111X,Mummy Case    Hb63 (Hardy Boys (Paperback)),Franklin W. Dixon,1980,Aladdin
36619,044808905X,Hunting For Hidden Gold (Hardy Boys Mystery Stories),Franklin W. Dixon,1975,Grosset &amp; Dunlap
36620,044808953X,The Clue Of The Hissing Serpent (Hardy Boys Mystery Stories),Franklin W. Dixon,1975,Grosset &amp; Dunlap
36621,0448089483,The Arctic Patrol Mystery (Hardy Boys (Hardcover)),Franklin W. Dixon,1969,Grosset &amp; Dunlap
36623,0448089432,Mystery Of The Aztec Warrior (Hardy Boys Mystery Stories),Franklin W. Dixon,1964,Grosset &amp; Dunlap
36738,0140186409,The Grapes Of Wrath (20Th Century Classics),John Steinbeck,1992,Penguin Books
36739,0393959007,"Hard Times: An Authoritative Text, Backgrounds, Sources, And Contemporary Reactions, Criticism (Norton Critical Edition)",Charles Dickens,1990,W W Norton &amp; Co Inc
36754,0451167538,Different Seasons (Signet),Stephen King,2004,Signet Book
36757,0140714103,Othello The Moor Of Venice (The Pelican Shakespeare),William Shakespeare,1987,Penguin Books
36802,0553267035,"On The Edge (Sweet Valley High, No 40)",Francine Pascal,1987,Sweet Valley
36807,0553249479,Sweet Valley High #20: Crash Landing (Sweet Valley High (Numbered Paperback)),Francine Pascal,1985,Bantam Books
36814,0553154214,"Best Friends (Sweet Valley Twins, No 1)",Francine Pascal,1986,Sweet Valley
36846,0553267655,Svh #015 Promises (Sweet Valley High (Numbered Paperback)),Francine Pascal,1984,Bantam Books
36854,0553267418,Svh #001 Double Love (Sweet Valley High (Numbered Paperback)),Francine Pascal,1984,Bantam Books
36855,0553272780,"Decisions (Sweet Valley High, No 46)",Francine Pascal,1988,Sweet Valley
36858,0440947359,Love And Betrayal And Hold The Mayo!,Francine Pascal,1986,Laurel-Leaf Books
36859,0553271768,"Family Secrets (Sweet Valley High, No 45)",Francine Pascal,1988,Sweet Valley
36862,0553250353,Sweet Valley High #12: When Love Dies (Sweet Valley High (Numbered Paperback)),Francine Pascal,1984,Bantam Books
36867,0394861221,Garfield In Space,Jim Davis,1983,Random House Children's Books
36870,0394854454,Garfield The Pirate,Jim Davis,1982,Random House Children's Books
36871,0345331184,Garfield Out To Lunch (Garfield (Numbered Paperback)),Jim Davis,1986,Ballantine Books
36878,0553272306,"On The Run (Sweet Valley High Super Thriller, No 2)",Francine Pascal,1988,Sweet Valley
36881,055326740X,Svh #016 Rags To Riches (Sweet Valley High (Numbered Paperback)),Francine Pascal,1985,Bantam Books
36883,0553258869,"Taking Sides (Sweet Valley High, No 31)",Francine Pascal,1986,Bantam Books
37025,0671473697,A Christmas Carol,Charles Dickens,1983,Pocket
37037,034536743X,The 158-Pound Marriage,John Irving,1994,Ballantine Books
37052,0860097374,A Fugitive From Love,Barbara Cartland,1985,Magna Large Print Books
37076,0373706405,"First Love, Second Chance (Family Man) (Harlequin Superromance, No 640)",Mary Higgins Clark,1995,Harlequin
37124,1558007377,Bridges Of Madison County,Robert James Waller,1992,Audio Literature
37185,0816146101,Thirteen At Dinner (G. K. Hall (Large Print)),Agatha Christie,1990,G. K. Hall &amp; Company
37186,0816145482,Endless Night (G.K. Hall Large Print Book Series),Agatha Christie,1990,Thorndike Pr
37305,0460873644,The Picture Of Dorian Gray (Everyman Paperback Classics),Oscar Wilde,1993,Everymans Library
37353,0553154591,"Choosing Sides (Sweet Valley Twins, No 4)",Francine Pascal,1986,Sweet Valley
37398,3150000734,Ein Sommernachtstraum,William Shakespeare,1999,"Philipp Reclam, Jun Verlag GmbH"
37599,3502519501,Im Spinnennetz.,Agatha Christie,2003,Scherz
37825,0061020656,Pyramids (Discworld Novels (Paperback)),Terry Pratchett,2001,HarperTorch
37899,1551668769,With A Southern Touch,Diana Palmer,2002,Mira
37970,0141301120,Charlie And The Great Glass Elevator (Puffin Novels),Roald Dahl,1998,Puffin Books
37979,0061020397,Carpe Jugulum (Discworld Novels (Paperback)),Terry Pratchett,2000,HarperTorch
37981,0553212702,The House Of The Seven Gables (Bantam Classic),Nathaniel Hawthorne,1987,Bantam Books
38052,0451162331,Sourcery (Discworld Novels (Paperback)),Terry Pratchett,1989,New Amer Library
38116,0425195899,Irish Born,Nora Roberts,2003,Berkley Publishing Group
38135,1570422877,Strange Highways (The Strange Highways Collection ; No. 1),Dean R. Koontz,1995,Time Warner AudioBooks
38138,0373483422,Long Tall Texan Summer,Diana Palmer,1997,Silhouette
38139,1558743766,A 2Nd Helping Of Chicken Soup For The Soul,Jack Canfield,1995,Health Communications
38159,345502498X,Die Jury,John Grisham,1998,Hoffmann und Campe Verlag
38194,014004261X,Log From The Sea Of Cortez,John Steinbeck,1986,Penguin USA
38249,0812034422,Nathaniel Hawthorne'S The Scarlet Letter (Barron'S Book Notes),Nathaniel Hawthorne,1984,Barron's Educational Series
38252,840147941X,Mort,Terry Pratchett,1998,Downtown Book Center
38266,0553273272,Fantastic Voyage Ii: Destination Brain,Isaac Asimov,1988,Bantam Books
38297,0140042326,The Pearl And The Red Pony (Two Books In One),John Steinbeck,1986,Penguin USA
38407,081674291X,Garfield Goes To Disobedience School,Jim Davis,1997,Troll Communications
38521,0345367413,Setting Free The Bears,John Irving,1990,Ballantine Books
38561,1558749780,Chicken Soup For The Teacher'S Soul: Stories To Open The Hearts And Rekindle The Spirit Of Educators,Jack Canfield,2002,Health Communications
38690,0590298380,Amalia (California Diaries),Ann M. Martin,1997,Apple
38719,0671822543,Water Method Man,John Irving,1978,Pocket
38754,0582077842,The Importance Of Being Earnest (Longman Literature),Oscar Wilde,1993,Longman Group United Kingdom
38758,0451450892,Guards! Guards!,Terry Pratchett,1991,New Amer Library
38759,0394836049,"The Wonderful Story Of Henry Sugar, And Six More",Roald Dahl,1991,Random House Childrens Books
38760,3499208555,Matilda. ( Ab 8 J.).,Roald Dahl,1997,Rowohlt Tb.
38761,0486404358,Shakespeare: A Book Of Quotations (Dover Thrift Editions),William Shakespeare,1998,Dover Publications
38772,1853260568,Persuasion (Wordsworth Collection),Jane Austen,1998,NTC/Contemporary Publishing Company
38773,1558745726,Chicken Soup For The Pet Lover'S Soul (Chicken Soup For The Soul (Hardcover Health Communications)),Jack Canfield,1998,Health Communications
38774,1558742913,Chicken Soup For The Soul (Chicken Soup For The Soul Series  (Cloth)),Jack Canfield,1993,Health Communications
38793,0060170166,The Infinite Plan: A Novel,Isabel Allende,1993,Harpercollins
38801,0451524357,Complete Fairy Tales Of Oscar Wilde,Oscar Wilde,1996,Signet Classics
38850,0671000489,The Riddle Of The Ruby Gazelle Nancy Drew 135,Carolyn Keene,1997,Aladdin
38929,0895773325,Twice-Told Tales (The World'S Best Reading),Nathaniel Hawthorne,1989,Reader's Digest
38931,0679600256,"Modern Library : Complete Novels Of Jane Austen, Volume Ii : Emma, Northanger Abbey, Persuasion",Jane Austen,1992,Modern Library
38965,0192833596,Great Expectations (Oxford World'S Classics),Charles Dickens,1998,Oxford University Press
39120,0192834355,Christmas Books (Oxford World'S Classics),Charles Dickens,1998,Oxford University Press
39166,0141302291,The Magic Finger,Roald Dahl,1998,Puffin Books
39330,0743418131,Deck The Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket
39343,0486280586,King Lear (Dover Thrift Editions),William Shakespeare,1994,Dover Publications
39359,0425067793,Dead Man'S Mirror,Agatha Christie,1986,Berkley Publishing Group
39365,1551665336,Moon Over Water,Debbie Macomber,1999,Mira
39394,1880418592,"Song Of Susannah (The Dark Tower, Book 6)",Stephen King,2004,Donald M. Grant/Scribner
39484,3442416523,Ruhig Blut. Ein Roman Von Der Bizarren Scheibenwelt.,Terry Pratchett,2000,Goldmann
39534,0395284120,Treasury Of Humor,Isaac Asimov,1979,Houghton Mifflin
39676,014030164X,The Happy Prince (Puffin Books),Oscar Wilde,1962,Puffin Books
39687,0048232386,"The Book Of Lost Tales, Part 1 (The History Of Middle-Earth, Volume 1)",J. R. R. Tolkien,1983,Allen &amp; Unwin
39692,0140177213,Forest House,Marion Zimmer Bradley,1995,Penguin Books Ltd
39731,0451199936,At Bertram'S Hotel (Miss Marple Mysteries (Paperback)),Agatha Christie,2001,Signet Book
39734,031286227X,Yon Ill Wind (Xanth Novels (Hardcover)),Piers Anthony,1996,St Martins Pr
39735,0399137815,Killobyte,Piers Anthony,1993,Putnam Pub Group
39736,0312853890,Demons Don'T Dream,Piers Anthony,1993,St Martins Pr
39737,0312853912,Geis Of The Gargoyle (Xanth),Piers Anthony,1995,St Martins Pr
39738,0312853904,Harpy Thyme (Xanth),Piers Anthony,1994,St Martins Pr
39753,0425089037,The Thirteen Problems (The Tuesday Club Murders),Agatha Christie,1999,Berkley Publishing Group
39756,2070549283,Animaux Fantastiques,J. K. Rowling,2002,Distribooks
39759,0425067807,Death In The Air,Agatha Christie,1984,Berkley Publishing Group
39868,3404130359,Cujo.,Stephen King,2003,LÃ?Â¼bbe
39928,0893757128,Tom Sawyer Abroad (Watermill Classic),Mark Twain,1983,Troll Communications
39940,0425171132,End Game (Tom Clancy'S Net Force; Young Adults No. 6),Tom Clancy,1999,Berkley Publishing Group
39941,042516991X,"The Great Race (Tom Clancy'S Net Force; Young Adults, No. 5)",Tom Clancy,1999,Berkley Publishing Group
39942,0425169391,"The Ultimate Escape (Tom Clancy'S Net Force; Young Adult, No. 4)",Tom Clancy,1999,Berkley Publishing Group
39965,8877828528,Harry Potter E Il Prigioniero D'Azkaban,J. K. Rowling,2002,Distribooks
39994,055315186X,George'S Marvelous Medicine,Roald Dahl,1983,Bantam Books
40053,1853260886,Henry V Classics Library (Classics Library (Ntc)),William Shakespeare,1998,Pub Group West
40067,0141185074,East Of Eden (Penguin Modern Classics),John Steinbeck,2000,Penguin Books Ltd
40088,3442426081,Das Echo Aller Furcht. Roman.,Tom Clancy,1994,Goldmann
40091,3453161599,Der Kardinal Im Kreml. Roman.,Tom Clancy,1999,Heyne
40096,3453129393,Tom Clancy'S Power Plays Politika.,Tom Clancy,1998,Heyne
40097,3453131274,Tom Clancy'S Op- Center. Chaostage.,Tom Clancy,1998,Heyne
40134,0671502956,Murder Of The Fourth Of July,Carolyn Keene,1996,Simon Pulse
40138,0448089513,"The Masked Monkey (Hardy Boys Mystery Stories, 51)",Franklin W. Dixon,1972,Grosset &amp; Dunlap
40184,0061059064,Jingo: A Novel Of Discworld,Terry Pratchett,1999,HarperTorch
40200,8445071521,El Libro De Los Cuentos Perdidos Ii,J. R. R. Tolkien,1995,Minotauro
40231,3499150425,Garp Und Wie Er Die Welt Sah.,John Irving,1982,Rowohlt Tb.
40232,3453130529,Stille Nacht.,Mary Higgins Clark,1999,Heyne
40242,3608932453,Das Silmarrion,J. R. R. Tolkien,2001,Distribooks
40280,0671634135,The Case Of The Vanishing Veil (Nancy Drew),Carolyn Keene,1988,Aladdin
40330,0373483317,"Jingle Bells, Wedding Bells",Nora Roberts,1994,Silhouette
40336,0590435272,A Christmas Carol (Apple Classics),Charles Dickens,1990,Scholastic
40352,0590691880,"Karen'S Christmas Tree (Baby-Sitters Little Sister, 80)",Ann M. Martin,1996,Scholastic
40384,0590338897,101 Silly Monster Jokes,R. L. Stine,1986,Scholastic Paperbacks (Mm)
40464,0373152736,The Humbug Man,Diana Palmer,1986,Silhouette Books
40539,8466611622,Rey De Los Pleitos,John Grisham,2003,Ediciones B
40686,0905712064,"John Steinbeck: The Grapes Of Wrath, The Moon Is Down, Cannery Row, East Of Eden, Of Mice And Men",John Steinbeck,1989,Heinemann Octopus
40769,155661246X,They Called Her Mrs. Doc (Women Of The West),Janette Oke,1992,Bethany House Publishers
40824,0743469887,Western Man And Leftover Love,Janet Dailey,2004,Pocket Star
40836,0345304225,Spell For Chameleon Xanth,Piers Anthony,1981,Ballantine Books
40837,0812574966,Vale Of The Vole (Xanth),Piers Anthony,2000,Tor Fantasy
40847,0821772937,The Only Thing Better Than Chocolate,Janet Dailey,2002,Kensington Publishing Corporation
40848,0821772244,A Capital Holiday (Zebra Book.),Janet Dailey,2001,Zebra Books
40858,0451526805,The Merchant Of Venice: With New And Updated Critical Essays And A Revised Bibliography (The Signet Classic Shakespeare),William Shakespeare,1998,Signet Book
40875,0774713569,Twelfth Night (Hbj Shakespeare),William Shakespeare,1990,Harcourt
40966,0553280791,"Teacher Crush (Sweet Valley High, No 57)",Francine Pascal,1989,Sweet Valley
40983,0486206025,Wit And Humor Of Oscar Wilde,Oscar Wilde,1959,Dover Publications
40985,0486272788,Hamlet (Dover Thrift Editions),William Shakespeare,1992,Dover Publications
41010,0439388805,A Corner Of The Universe,Ann M. Martin,2002,Scholastic
41021,1853267295,The Mystery Of Edwin Drood And Other Stories (Classics Library (Ntc)),Charles Dickens,1998,NTC/Contemporary Publishing Company
41042,0553157590,"Runaway Hamster (Sweet Valley Kids, No 2)",Francine Pascal,1989,Sweet Valley
41048,0553159496,"The Curse Of The Ruby Necklace (Sweet Valley Twins And Friends Super Chiller, No 5)",Francine Pascal,1993,Sweet Valley
41049,0590065939,"Karen'S Promise (Baby-Sitters Little Sister, 95)",Ann M. Martin,1998,Little Apple Books (Scholastic)
41054,0553157604,The Twins' Mystery Teacher (Sweet Valley Kids (Paperback)),Francine Pascal,1989,Sweet Valley
41056,0553480537,"The Great Boyfriend Switch (Sweet Valley Twins And Friends, No 66)",Francine Pascal,1993,Sweet Valley
41057,0553564048,"The Haunted Burial Ground (Sweet Valley Twins And Friends Super Chiller, No 7)",Francine Pascal,1994,Sweet Valley
41063,0590448277,"Karen'S Mystery (Baby-Sitters Little Sister Super Special, 3)",Ann M. Martin,1995,Scholastic
41065,0553158430,"Lucy Takes The Reins (Sweet Valley Twins, No 45)",Francine Pascal,1991,Sweet Valley
41068,0590449702,"Claudia And The Genius Of Elm Street (Baby-Sitters Club, 49)",Ann M. Martin,1991,Scholastic
41072,059050391X,"Everything Changes (Baby-Sitters Club Friends Forever Super Special, 1)",Ann M. Martin,1999,Apple
41075,0553274163,Slam Book Fever (Svh #48),Francine Pascal,1988,Sweet Valley
41404,0312979487,The Man In The Brown Suit (St. Martin'S Minotaur Mysteries),Agatha Christie,2001,St. Martin's Paperbacks
41487,0816714649,Adventures Of Huckleberry Finn (Watermill),Mark Twain,1988,Troll Communications
41662,0590482343,"Kristy And The Missing Fortune (Baby-Sitters Club Mystery, 19)",Ann M. Martin,1995,Scholastic
41794,0821752286,Wish List,Fern Michaels,1996,Zebra Books
41796,1551666022,"Dakota Home (Dakota Trilogy, Book 2)",Debbie Macomber,2000,Mira
41933,0517530317,Annotated Huckleberry Finn,Mark Twain,1988,Random House Value Publishing
42029,0553212974,King Lear (Bantam Classics),William Shakespeare,1988,Bantam
42078,0440181275,A Stranger Is Watching,Mary Higgins Clark,1990,Dell Publishing Company
42146,1853264253,The Works Of Oscar Wilde (Wordsworth Poetry Library),Oscar Wilde,1998,NTC/Contemporary Publishing Company
42168,0590568779,"Night Of The Living Dummy Iii (Goosebumps, No 40)",R. L. Stine,1996,Scholastic
42169,0590568787,"Bad Hare Day (Goosebumps, No 41)",R. L. Stine,1996,Scholastic
42170,0590568884,"Beware, The Snowman (Goosebumps, No 51)",R. L. Stine,1997,Scholastic
42171,0590568922,"The Blob That Ate Everyone (Goosebumps, No 55)",R. L. Stine,1997,Apple (Scholastic)
42172,059039990X,"Bride Of The Living Dummy (Goosebumps Series 2000, No 2)",R. L. Stine,1998,Scholastic
42173,0590847678,"Diary Of A Mad Mummy (Give Yourself Goosebumps, No 10)",R. L. Stine,1996,Scholastic
42174,059076781X,"Headless Halloween (Goosebumps Series 2000, No 10)",R. L. Stine,1998,Apple
42175,0590568833,"How To Kill A Monster (Goosebumps, No 46)",R. L. Stine,1996,Scholastic
42176,0590399934,"I Am Your Evil Twin (Goosebumps Series 2000, No 6)",R. L. Stine,1998,Apple
42177,059039777X,"Into The Jaws Of Doom (Give Yourself Goosebumps Special Edition, No 1)",R. L. Stine,1998,Scholastic
42178,0590568841,"Legend Of The Lost Legend (Goosebumps, No 47)",R. L. Stine,1996,Scholastic
42179,0590568949,"My Best Friend Is Invisible (Goosebumps, No 57)",R. L. Stine,1997,Scholastic
42181,0590847732,"Scream Of The Evil Genie (Give Yourself Goosebumps, No 13)",R. L. Stine,1997,Scholastic
42182,0590568809,"The Beast From The East (Goosebumps, No 43)",R. L. Stine,1996,Scholastic
42183,0590847651,"The Curse Of The Creeping Coffin (Give Yourself Goosebumps, No 8)",R. L. Stine,1996,Scholastic
42185,0590566458,"Tick Tock, You'Re Dead! (Give Yourself Goosebumps, No 2)",R. L. Stine,1995,Scholastic
42186,0590566466,"Trapped In Bat Wing Hall (Give Yourself Goosebumps, No 3)",R. L. Stine,1995,Scholastic
42221,0192834444,The Importance Of Being Earnest And Other Plays (Oxford World'S Classics),Oscar Wilde,1998,Oxford University Press
42240,0898702682,Joan Of Arc,Mark Twain,1989,Ignatius Press
